mt,ref,score
Zhang Jikelin Xiaozhai team up to support muscular teenagers-Xinhuanet,Zhang Jike and Lin Xiaozhai team up support muscular teenagers - www.xinhuanet.com,-5
"Sports Youth Hot-blooded Sports Show "" Sports Bar Youth "" officially landed on Hunan Satellite TV on July 11.","On July 11, the “Let’s Exercise, Boys”, a hot-blooded sports show for sports teenagers, officially landed on Hunan Satellite TV.",-15
"Sports leader Zhang Jike and sports assistant Lin Xiaozhai cross-border on the same stage. Lin Dan and Fu Yuanhui commented on their respective styles, and the hard core of the "" giant "" -like power pulling device came on stage, which made the program "" burning. ""","Zhang Jike, the sports leader, and Lin Xiaozhai, the sports assistant, crossed the industry on the same stage, Lin Dan and Fu Yuanhui commented on each other’s styles, and the the “monster”-like power pulling device came on the stage with difficulty, which made the program very ""burning"".",-10
"In the first episode, 11 sports teenagers appeared on the power track, and their appearance surprised the audience. At the same time, the "" strong conflict"" , "" strong confrontation "" and "" strong heart "" on the competition stage also attracted attention.","In the first episode, 11 sports teenagers appeared on the power track, and their appearance surprised the audience; at the same time, the “strong conflict”, “strong confrontation” and “strong heart” on the arena also received attention.",-10
"Among them, the "" strong conflict "" comes from Super A sports student Qiao Wenyi. Before the race, he openly provoked Xu Zhibin, who is known as the "" beautiful man "" on the track, choking that Xu Zhibin's appearance conditions should go to sing and dance programs, and even released the cruel words of "" Don't cry your makeup if you lose. ""","The “strong conflict” comes from Qiao Wenyi, a super A sports student; before the competition, he openly challenged Xu Zhibin, who is known as “beautiful boys” in the track, choking that Xu Zhibin should go to the sing and dance program in view of his appearance condition, and even releasing the malicious words of “don’t cry your makeup when you lose”.",-25
Some remarks made the teenagers and sports leaders on the field take a breath.,Some remarks made teenagers and sports leaders on the field breathe in a gasp.,-5
"The "" strong confrontation "" is more like an immortal fight. Sun Jianqi, known as the "" Great Demon King"" , met the equally powerful Zhang Xindong and staged a strong confrontation.","The ""strong confrontation"" is more like a fairy fight, and Sun Jianqi, who is known as the ""Great Devil"", and Zhang Xindong, who has the same strength, performs a strong confrontation.",-15
"And their identities are unexpected. Sun Jianqi is an actor who loves fitness, and Zhang Xindong is a retired special forces member and three-time Warrior Medal winner.","Their identities are unexpected; Sun Jianqi is an actor who loves fitness, while Zhang Xindong is a retired special warfare player and a winner of the Warriors Medal for three times.",-10
"At the beginning of the game, the two teenagers tried their best to pull out the small pole quickly. The lasting confrontation on the big pole made the audience sweat for them.","At the beginning of the competition, the two teenagers tried their best to pull out the small pole quickly, and the lasting confrontation on the big pole made the audiences sweat for them.",-5
"Under the tense competition conditions, Zhang Jike, as one of the sports leaders of "" Sports Bar Youth"" , also watched the game carefully.","Under the tense competition situation, Zhang Jike, as one of the sports leaders of the “Let’s Exercise, Boys”, also watched the game carefully.",-15
"In the comment section, he was also very careful, patiently encouraging the teenagers who lost the game, and helping every mistake in the process of resuming the game.","In the comment session, he was also very careful, patiently encouraging the teenager who lost the game and helping him to review every mistake in the process.",-10
"Lin Xiaozhai, a sports assistant, is a fancy assist, and she makes no secret of her appreciation for the teenagers who are online.","Lin Xiaozhai, the sports assistant, is a fancy assistant, and she makes no secret of her appreciation for the online teenagers who have beauty strength.",-15
"When learning about the overloaded daily training of sports teenagers, they are even more admired.","When she learned about the overloaded daily training of sports teenagers, she was even more admired.",-10
"Lin Dan and Fu Yuanhui, who are also sports leaders, have their own styles. One is a calm "" prophet "" and the other is a "" wild girl "" who dispels tension with a smile.","Lin Dan and Fu Yuanhui, who are also sports leaders, have their own styles; one is a calm “prophet”, and the other is a “girl with prehistorical power” who dispels tension with a smile.",-5
"In addition, Jike Junyi and Liu Ye, as sports assistants, also created a lot of funny topics around sports teenagers.","In addition, Jike Junyi and Liu Ye, as sports assistants, also created a lot of hilarious topics around sports teenagers.",-5
"Church fire in Nantes, France: Diocese volunteers admit arson is usually kind and reticent-chinanews.com",A fire broke out in Nantes church in France: A parish volunteer admitted arson. He is usually kind and taciturn - www.chinanews.com,-2
"BEIJING, July 26 (Xinhua) According to foreign media reports, on July 18, the famous Cathedral of St. Peter and St. Paul in Nantes, France, was seriously damaged in a fire, and the large pipe organ was completely destroyed.","Www.chinanews.com, July 26 - According to foreign media reports, on July 18, the famous Cathedral Church of St.Peter and St.Paul, a religious and historical building treasure in Nantes, France, was severely damaged in a fire, and the grand organ was completely destroyed.",-5
